,Title,Published_date,Views,Likes,Dislikes,Comments,Month
74,ML Ops: What is it REALLY?,2021-10-22,6839,283,0,65,Oct
75,Business Skills for Data Science: What are they REALLY?,2021-10-18,6794,301,0,50,Oct
76,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2205,123,0,5,Oct
77,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5907,282,0,64,Oct
78,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12782,529,0,112,Aug
79,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10192,433,0,32,Aug
80,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40973,1595,0,32,Aug
81,How I Learned to Learn.,2021-07-31,50780,2366,0,209,Jul
82,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10467,578,0,50,Jul
83,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2391,93,0,30,Jul
84,Why are APIs Important for Data Science?,2021-07-09,9871,453,0,95,Jul
85,Is Your Phone REALLY Listening to You?,2021-07-03,5175,280,0,116,Jul
86,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15137,596,0,121,Jun
87,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4092,225,0,41,Jun
88,#66DaysOfData - What is it? #shorts,2021-06-11,9128,393,0,54,Jun
89,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16622,1016,0,89,Jun
90,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7446,391,0,195,May
91,How Data Science Projects Pay Off,2021-05-22,10633,598,0,146,May
92,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10595,490,0,134,May
93,What is a lambda function (python)? #shorts,2021-05-13,15247,940,0,49,May
94,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,29442,1567,0,64,May
95,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23584,1211,0,87,Apr
96,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77035,3430,0,284,Apr
97,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23467,693,0,85,Apr
98,Why You Probably Won't Become a Data Scientist,2021-04-09,138000,4038,0,480,Apr
99,How to Go From Data Analyst to Data Scientist,2021-04-02,53439,1533,0,177,Apr
100,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3973,138,0,92,Mar
101,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18164,350,0,108,Mar
102,My Regrets as a Data Science Student,2021-03-12,23928,882,0,112,Mar
103,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3828,196,0,83,Mar
104,What is the Future of my Comment Leaderboard Project?,2021-02-26,5568,201,0,81,Feb
105,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6704,172,0,51,Feb
106,Why I Quit Data Science,2021-02-12,104547,2342,0,346,Feb
107,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10696,556,0,116,Jan
108,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6994,294,0,126,Jan
109,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9637,299,0,52,Jan
110,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22500,695,0,134,Jan
111,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37477,1136,0,147,Jan
112,What is the #66DaysOfData?,2020-12-26,69744,2323,0,202,Dec
113,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131402,5971,0,488,Dec
114,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10875,396,0,133,Dec
115,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23463,727,0,326,Dec
116,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27741,854,0,160,Nov
117,6 Lessons from #66DaysOfData,2020-11-13,6728,340,0,93,Nov
118,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
119,Find a Data Science Project With These 3 Techniques,2020-11-06,16737,724,0,106,Nov
120,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26893,672,0,155,Oct
121,git for Data Science Made Simple... (Hopefully),2020-10-23,19473,861,0,92,Oct
122,The PODCAST you might have asked for?,2020-10-19,2112,94,0,44,Oct
123,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6733,448,0,113,Oct
124,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14035,410,0,47,Oct
125,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6761,142,0,62,Oct
126,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11356,564,0,83,Oct
127,Sh*t Data Scientists Say (Parody),2020-10-05,9469,577,0,143,Oct
128,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8614,366,0,93,Oct
129,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7066,289,0,61,Sep
130,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11619,290,0,69,Sep
131,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72600,3099,0,208,Sep
132,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5176,197,0,64,Sep
133,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11647,455,0,58,Sep
134,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7432,251,0,34,Sep
135,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5101,193,0,56,Sep
136,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4228,158,0,35,Sep
137,The 5 Pillars of Success I Live By,2020-09-11,10136,874,0,152,Sep
138,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,0,25,Sep
139,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4024,162,0,43,Sep
140,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11799,735,0,144,Sep
141,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17927,569,0,89,Sep
142,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17835,795,0,93,Aug
143,Why I'm Starting Data Science Over Again.,2020-08-29,50735,2605,0,450,Aug
144,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15066,627,0,76,Aug
145,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12814,457,0,55,Aug
146,Don't Buy My Course..,2020-08-21,7333,358,0,146,Aug
147,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29087,1114,0,166,Aug
148,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3234,128,0,40,Aug
149,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6310,537,0,108,Aug
150,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4966,183,0,39,Aug
151,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12072,381,0,53,Aug
152,The Plagiarism Problem in Data Science,2020-08-07,13044,629,0,145,Aug
153,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14387,601,0,89,Aug
154,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4901,188,0,56,Aug
155,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11375,580,0,90,Jul
156,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2315,116,0,34,Jul
157,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5591,251,0,112,Jul
158,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8207,246,0,199,Jul
159,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1853,98,0,27,Jul
160,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28987,564,0,90,Jul
161,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,324612,7233,0,423,Jul
162,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30256,1125,0,121,Jul
163,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3620,135,0,50,Jul
164,The Best Computer for Data Science Beginners,2020-07-10,37820,849,0,157,Jul
165,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6166,231,0,82,Jul
166,Critiquing MY OWN Data Science Resume,2020-07-06,12624,396,0,88,Jul
167,Where to Start Learning Data Science,2020-07-03,18725,782,0,126,Jul
168,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4124,197,0,37,Jul
169,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4581,176,0,52,Jun
170,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16270,549,0,79,Jun
171,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2410,82,0,40,Jun
172,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2386,139,0,49,Jun
173,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4352,169,0,46,Jun
174,Why You're Struggling to Learn Data Science,2020-06-12,15241,1011,0,159,Jun
175,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11646,357,0,70,Jun
176,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23809,684,0,146,Jun
177,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5702,155,0,53,Jun
178,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,71583,2185,0,268,May
179,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20966,489,0,81,May
180,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54830,1952,0,178,May
181,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11238,178,0,53,May
182,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,127814,4367,0,193,May
183,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,0,115,May
184,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4509,153,0,74,May
185,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1393454,49024,0,1996,May
186,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5526,196,0,42,May
187,What You Need to Know for a Data Science Internship,2020-05-01,21855,1199,0,60,May
188,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8346,349,0,54,Apr
189,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14979,459,0,103,Apr
190,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3112,85,0,24,Apr
191,5 Tips for Crushing the Work From Home Life,2020-04-20,5411,203,0,38,Apr
192,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21210,736,0,129,Apr
193,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,29068,726,0,98,Apr
194,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,43616,897,0,154,Apr
195,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,71724,1875,0,213,Apr
196,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,79849,1750,0,277,Apr
197,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,126676,3464,0,621,Apr
198,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,194762,4977,0,174,Apr
199,When Data Science Goes Wrong,2020-03-30,1802,105,0,32,Mar
200,How to ULTRALEARN Data Science,2020-03-27,61770,3821,0,169,Mar
201,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4406,267,0,50,Mar
202,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12840,462,0,45,Mar
203,The Secret Data Scientists Don't Want You to Know,2020-03-16,10737,1138,0,103,Mar
204,The 5 Stages of Learning Data Science,2020-03-13,17455,1296,0,78,Mar
205,Can You Learn Data Science Without a Computer?,2020-03-11,1667,113,0,14,Mar
206,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,345327,21180,0,622,Mar
207,The Data Science Projects that Got Me a Job,2020-03-06,40750,1396,0,41,Mar
208,How to Integrate Data Science into Your Business,2020-03-02,3374,129,0,18,Mar
209,The Problem with Data Science,2020-02-28,3782,154,0,19,Feb
210,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1162,46,0,16,Feb
